a	một cái, một con 
knuckle	đốt ngón tay
Koran	Kinh Koran
Korean	Hàn Quốc
kosher	kosher
Kurd	Người Kurd
Kurdish	Người Kurd
Kuwaiti	Kuwaiti
lab	phòng thí nghiệm
label	nhãn mác
labeled	dán nhãn
labeling	dán nhãn
labor	nhân công
laboratory	phòng thí nghiệm
laborer	người lao công
labor-intensive	thâm dụng lao động
laborious	siêng năng
Labour	Nhân công
labyrinth	mê cung
labyrinthine	mê cung
lace	ren
lack	thiếu
lackluster	mờ nhạt
lactose	đường lactose
lad	thanh niên
ladder	thang
laden	chất đầy
lady	quý bà
lag	lỗi
lagoon	đầm phá
laissez-faire	giấy thông hành
laity	giáo dân
lake	Hồ
lamb	cừu
lambda	lambda
lame	què
lament	than thở
lamentation	than thở
lamp	đèn để bàn
lance	cây thương
land	đất
land-based	dựa trên đất liền
landed	hạ cánh
lander	tàu đổ bộ
landfill	bãi rác
landform	địa mạo
landholder	chủ đất
landing	đổ bộ
landless	không có đất
landlord	chủ nhà
landmark	phong cảnh
landmass	đất đai
landowner	chủ đất
landscape	phong cảnh
landscaper	phong cảnh
landscaping	phong cảnh
landslide	lở đất
land-use	sử dụng đất đai
lane	làn đường
language	ngôn ngữ
languish	uể oải
lantern	đèn lồng
lap	lòng
lapse	trôi đi
laptop	máy tính xách tay
large	lớn
largely	phần lớn
large-scale	quy mô lớn
largesse	rộng rãi
larva	ấu trùng
larval	ấu trùng
laryngeal	thanh quản
laryngoscopy	soi thanh quản
larynx	thanh quản
laser	tia laze
lash	dây da roi
last	Cuối cùng
lasting	bền vững
lastly	cuối cùng
last-minute	phút trước
latch	chốt cửa
late	muộn
lately	gần đây
latency	độ trễ
late-night	đêm muộn
latent	ngầm
later	một lát sau
lateral	bên
laterally	theo chiều ngang
latex	mủ cao su
Latin	Latin
latitude	vĩ độ
latter	sau này
latter-day	ngày sau
lattice	mạng tinh thể
laud	laud
laudable	đáng khen ngợi
laugh	cười
laughter	tiếng cười
launch	phóng
launcher	bệ phóng
launching	tung ra
launder	người giặt giũ
laundering	giặt giũ
laundry	giặt ủi
laureate	người đoạt giải
laurel	nguyệt quế
lava	dung nham
lavender	Hoa oải hương
lavish	xa hoa
law	pháp luật
law-abiding	tuân thủ luật pháp
lawful	hợp pháp
lawless	luật rừng
lawlessness	vô luật pháp
lawmaker	người làm luật
lawn	cừu con
lawsuit	kiện cáo
lawyer	luật sư
lax	lỏng lẻo
lay	đặt nằm
layer	lớp
layered	nhiều lớp
layering	phân lớp
layman	cư sĩ
layoff	Sa thải
layout	bố trí
laypeople	giáo dân
layperson	cư sĩ
laziness	sự lười biếng
lazy	lười biếng
leach	nước rút
lead	chỉ huy
lead-based	dựa trên chì
leader	lãnh đạo
leadership	Khả năng lãnh đạo
leading	dẫn đầu
leaf	Lá cây
leaflet	tờ rơi
leafy	lá
league	liên đoàn
leak	hở
leakage	Sự rò rỉ
leaky	rò rỉ
lean	nạc
leaning	nghiêng người
leap	nhảy vọt
learn	học
learned	đã học
learner	người học
learner-centered	lấy người học làm trung tâm
learning	học tập
lease	cho thuê
leased	cho thuê
leash	dây buộc
leasing	cho thuê
least	ít nhất
leather	da thú
leave	rời bỏ
Lebanese	Người Lebanon
lector	lector
lecture	bài học
lecturer	giảng viên
ledge	mỏm đá
ledger	sổ cái
leeway	sự mất thời gian
left	bên trái
left-hand	tay trái
left-handed	thuận tay trái
leftist	cánh tả
leftover	thức ăn thừa
left-wing	cánh trái
leg	Chân
legacy	di sản
legal	hợp pháp
legalistic	hợp pháp
legality	tính hợp pháp
legalization	hợp pháp hóa
legalize	hợp pháp hóa
legally	hợp pháp
legend	truyền thuyết
legendary	huyền thoại
legibility	tính dễ đọc
legible	dễ đọc
legion	quân đoàn
legislate	lập pháp
legislation	pháp luật
legislative	lập pháp
legislator	nhà lập pháp
legislature	cơ quan lập pháp
legitimacy	tính hợp pháp
legitimate	hợp pháp
legitimately	hợp pháp
legitimation	sự hợp pháp hóa
legitimize	hợp pháp hóa
legume	cây họ đậu
leisure	thời gian rảnh rỗi
leisurely	nhàn nhã
leisure-time	thời gian giải trí
lemma	bổ đề
lemon	Chanh
lend	cho vay
lender	người cho vay
lending	cho vay
length	chiều dài
lengthen	kéo dài
lengthy	dài dòng
lenient	nhân hậu
Leninist	Người theo chủ nghĩa Lênin
lens	ống kính
leopard	báo
leper	người cùi
leprosy	bệnh phong cùi
lepton	lepton
lesbian	đồng tính nữ
lesion	tổn thương
less	ít hơn
less-developed	kém phát triển
lessen	bớt đi
lesser	ít hơn
lesson	bài học
lest	e rằng
let	cho phép
lethal	gây chết người
letter	thư
lettuce	rau diếp
leukemia	bệnh bạch cầu
levee	levee
level	cấp độ
lever	đòn bẩy
leverage	tận dụng
leveraged	đòn bẩy
levy	tiền thuế
lexical	từ vựng
lexicon	từ vựng
liability	trách nhiệm pháp lý
liable	chịu trách nhiệm
liaison	sự liên lạc
liar	người nói dối
libel	phỉ báng
liberal	phóng khoáng
liberalism	chủ nghĩa tự do
liberalization	tự do hóa
liberalize	tự do hóa
liberally	phóng khoáng
liberate	giải phóng
liberated	giải phóng
liberating	giải phóng
liberation	giải phóng
liberator	người giải phóng
libertarian	người theo chủ nghĩa tự do
liberty	sự tự do
libido	ham muốn tình dục
librarian	thủ thư
library	thư viện
Libyan	Người Libya
license	giấy phép
licensed	được cấp phép
licensing	cấp phép
licensure	giấy phép
lichen	địa y
lick	liếm
lid	Nắp
lie	nằm
lien	quyền cầm giữ
lieu	thay vì
lieutenant	Trung úy
life	đời sống
life-form	dạng sống
life-giving	sự sống
lifeless	vô hồn
lifelike	sống động như thật
lifeline	dây cứu sinh
lifelong	suốt đời
life-saving	cứu sinh
life-size	kích thước cuộc sống
lifespan	tuổi thọ
lifestyle	cách sống
life-threatening	nguy hiểm đến tính mạng
lifetime	cả đời
lift	nâng lên
lifting	Nâng
ligament	dây chằng
ligand	phối tử
ligation	thắt
light	soi rọi
lighten	làm sáng
lighter	nhẹ hơn
lighthouse	ngọn hải đăng
lighting	thắp sáng
lightly	nhẹ nhàng
lightness	sự nhẹ nhàng
lightning	tia chớp
lightweight	nhẹ
light-year	năm ánh sáng
likable	như nhau
like	như
likelihood	khả năng xảy ra
likely	rất có thể
like-minded	cùng chí hướng
liken	ví von
likeness	sự đáng yêu
Likert-type	Kiểu Likert
likewise	tương tự như vậy
liking	thích
lily	Hoa loa kèn
limb	chân tay
limbo	lấp lửng
lime	Vôi
limestone	đá vôi
liminal	danh nghĩa
limit	giới hạn
limitation	sự hạn chế
limited	giới hạn
limiting	hạn chế
limitless	vô hạn
limp	khập khiễng
linchpin	đinh ghim
line	hàng
lineage	dòng dõi
linear	tuyến tính
linearity	tuyến tính
linearly	tuyến tính
linen	lanh
liner	lót
lineup	xếp hàng
ling	ling
linger	nán lại
lingering	kéo dài
lingua	ngôn ngữ
linguist	nhà ngôn ngữ học
linguistic	ngôn ngữ
linguistically	về mặt ngôn ngữ
linguistics	ngôn ngữ học
lining	niêm mạc
link	liên kết
linkage	sự liên kết
linked	liên kết
linking	liên kết
lion	con sư tử
lip	môi
lipid	chất béo
lipstick	son môi
liquid	chất lỏng
liquidate	thanh lý
liquidation	thanh toán
liquidity	thanh khoản
liquor	rượu
list	danh sách
listed	liệt kê
listen	nghe
listener	thính giả
listening	nghe
listing	danh sách
listserv	listerv
litany	kinh cầu
lite	người đọc viết
liter	lít
literacy	trình độ học vấn
literal	theo nghĩa đen
literally	theo đúng nghĩa đen
literary	văn học
literate	biết đọc
literature	văn học
lithium	liti
lithium-ion	lithium-ion
lithography	in thạch bản
Lithuanian	Tiếng Lithuania
litigant	đương sự
litigate	kiện tụng
litigation	kiện tụng
litigator	người tranh tụng
litter	rác
little	ít
little-known	ít được biết đến
littoral	bờ biển
liturgical	phụng vụ
liturgy	phụng vụ
live	trực tiếp
livelihood	kế sinh nhai
lively	sống động
liver	Gan
livestock	chăn nuôi
living	cuộc sống
lizard	con thằn lằn
load	trọng tải
loaded	nạp vào
loader	người nạp
loading	Đang tải
loaf	ổ bánh mì
loan	tiền vay
loath	không ưa
loathe	không ưa
lobby	sảnh đợi
lobbying	vận động hành lang
lobbyist	người vận động hành lang
lobe	thùy
lobster	tôm
local	địa phương
locale	ngôn ngữ
locality	địa phương
localization	bản địa hóa
localize	bản địa hóa
localized	bản địa hóa
locally	địa phương
locate	định vị
location	vị trí
lock	Khóa
locked	bị khóa
locker	khóa
locomotion	sự vận động
locomotive	đầu máy xe lửa
locus	quỹ tích
lodge	lều
lodging	chỗ ở
loft	căn hộ nhỏ
lofty	cao
log	khúc gỗ
logger	tiều phu
logging	khai thác gỗ
logic	Hợp lý
logical	hợp lý
logically	một cách hợp lý
logistic	hậu cần
logistical	hậu cần
logistics	hậu cần
logo	Logo
lone	đơn độc
loneliness	sự cô đơn
lonely	cô đơn
long	Dài
long-awaited	đã chờ đợi từ lâu
long-distance	khoảng cách xa
longer-term	dài hạn
long-established	lâu đời
longevity	tuổi thọ
long-held	giữ lâu
longing	khao khát
longitude	kinh độ
longitudinal	theo chiều dọc
long-lasting	lâu dài
longline	đường dài
long-lived	sống lâu
long-range	tầm xa
long-run	chạy dài
long-running	lâu dài
long-standing	lâu đời
long-term	dài hạn
long-term-care	chăm sóc dài hạn
longtime	thời gian dài
look	nhìn
lookout	coi chưng
loom	khung cửi
looming	lờ mờ
loop	vòng
loophole	sơ hở
loose	lỏng lẻo
loosely	lỏng lẻo
loosen	nới lỏng
loot	cướp bóc
looter	kẻ cướp bóc
looting	cướp bóc
lord	Chúa tể
lore	truyền thuyết
lose	mất
loser	kẻ thua cuộc
losing	thua cuộc
loss	thua
lost	mất
lot	nhiều
lotion	nước thơm
lots	rất nhiều
lottery	vé số
lotus	hoa sen
loud	to tiếng
loudly	ầm ĩ
loudness	sự ồn ào
loudspeaker	loa phóng thanh
lounge	phòng chờ
louse	con rận
lousy	tồi tệ
love	yêu quý
loved	yêu
lovely	đáng yêu
lover	người yêu
loving	thương
lovingly	đáng yêu
low	Thấp
low-achieving	thành tích thấp
low-cost	giá thấp
low-density	mật độ thấp
low-dose	liều thấp
low-end	cấp thấp
low-energy	năng lượng thấp
lower	thấp hơn
lower-class	tầng lớp hạ lưu
lowered	hạ xuống
lowering	hạ thấp
lower-level	mức độ thấp hơn
low-fat	ít béo
low-frequency	tần số thấp
low-grade	điểm thấp
low-income	thu nhập thấp
low-intensity	cường độ thấp
low-key	trọng yếu
lowland	vùng đất thấp
low-level	cấp thấp
lowly	hèn mọn
low-lying	vùng trũng
low-mass	khối lượng thấp
low-power	năng lượng thấp
low-pressure	áp lực thấp
low-quality	chất lượng thấp
low-risk	nguy cơ thấp
low-skilled	tay nghề thấp
low-tech	công nghệ thấp
low-wage	lương thấp
loyal	Trung thành
loyalist	người trung thành
loyalty	lòng trung thành
lubricant	chất bôi trơn
lubricate	bôi trơn
lubrication	bôi trơn
lucid	minh mẫn
luck	may mắn
luckily	may mắn thay
lucky	may mắn
lucrative	béo bở
ludicrous	lố bịch
lug	tai
luggage	Hành lý
lukewarm	ấm áp
lull	ru ngũ
lumbar	ngang lưng
lumber	gỗ
lumen	lumen
luminary	chói lọi
luminosity	độ sáng
luminous	sáng chói
lump	cục bướu
lunar	âm lịch
lunch	Bữa trưa
luncheon	tiệc trưa
lunchtime	giờ ăn trưa
lung	phổi
lunge	đột kích
lupus	lupus
lurch	lảo đảo
lure	dụ
lurid	buồn tẻ
lurk	ẩn nấp
lush	tươi tốt
lust	ham muốn
luster	nước bóng
lutein	lutein
Lutheran	Lutheran
luxurious	sang trọng
luxury	sang trọng
lycopene	lycopene
lying	nằm
lymph	bạch huyết
lymphadenopathy	nổi hạch
lymphatic	bạch huyết
lymphocyte	tế bào bạch huyết
lymphoma	ung thư hạch
lynching	lynching
lyric	lời bài hát
lyrical	trữ tình
lyrics	lời bài hát
machination	âm mưu
machine	cỗ máy
machinery	máy móc
macho	bậc nam nhi
mackerel	cá thu
macro	vĩ mô
macroeconomic	kinh tế vĩ mô
macrophage	đại thực bào
macroscopic	vĩ mô
mad	điên rồ
Madame	Thưa bà
madden	mê muội
madman	người điên
madness	điên cuồng
mafia	Xã hội đen
magazine	tạp chí
Magellanic	Magellanic
magenta	đỏ tươi
maggot	sâu non
magic	ảo thuật
magical	huyền diệu
magically	Điều kỳ diệu
magician	nhà ảo thuật
magisterial	thẩm phán
magisterium	huấn Quyền
magistrate	thẩm phán
magma	dung nham
magnate	ông trùm
magnesium	magiê
magnet	nam châm
magnetar	nam châm
magnetic	từ tính
magnetism	từ tính
magnetosphere	từ quyển
magnification	phóng đại
magnificent	tráng lệ
magnifier	kính lúp
magnify	phóng đại
magnitude	kích cỡ
mahogany	gỗ gụ
maid	người giúp việc
maiden	thời con gái
mail	thư
mailbox	hộp thư
mailing	gửi thư
mail-order	đặt hàng qua thư
main	chủ chốt
mainframe	máy tính lớn
mainland	đất liền
mainline	dòng chính
mainly	chủ yếu
mainstay	trụ cột
mainstream	Xu hướng
maintain	duy trì
maintenance	Sự bảo trì
maize	bắp
majestic	Hùng vĩ
majesty	uy nghiêm
major	chính
majoritarian	chuyên chế độ ăn uống
majority	số đông
make	chế tạo
makeover	trang điểm
maker	người chế tạo
makeshift	tạm bợ
makeup	trang điểm
making	chế tạo
maladaptive	sai lầm
maladjustment	điều chỉnh sai
malady	bệnh hoạn
Malagasy	Malagasy
malaise	khó chịu
malaria	bệnh sốt rét
Malay	Tiếng Mã Lai
Malaysian	người Malaysia
male	Nam giới
male-dominated	nam giới thống trị
male-female	Nam nữ
maleness	sự ác độc
malevolent	ác tâm
malformation	dị tật
malfunction	sự cố
Malian	Tiếng Malian
malice	ác ý
malicious	độc hại
malignancy	bệnh ác tính
malignant	ác tính
mall	Trung tâm mua sắm
malleable	dễ uốn
malnutrition	suy dinh dưỡng
malpractice	sơ suất
maltreatment	ngược đãi
malware	phần mềm độc hại
mama	má
mammal	động vật có vú
mammalian	động vật có vú
mammogram	chụp quang tuyến vú
mammography	chụp nhũ ảnh
mammoth	voi ma mút
man	Đàn ông
manage	quản lý
manageable	quản lý được
managed	quản lý
managed-care	quản lý-chăm sóc
management	ban quản lý
manager	người quản lý
managerial	quản lý
managing	quản lý
mandarin	Quan thoại
mandate	thi hành
mandated	ủy thác
mandatory	bắt buộc
mandible	hàm dưới
mandibular	hàm dưới
maneuver	sự điều động
maneuvering	điều động
manganese	mangan
mango	trái xoài
mangrove	rừng ngập mặn
manhood	lưu manh
mania	hưng cảm
manic	phấn khích
manifest	rõ ràng
manifestation	biểu hiện
manifestly	hiển nhiên
manifesto	tuyên ngôn
manifold	nhiều thứ khác nhau
manioc	khoai mì
manipulate	vận dụng
manipulation	Thao tác
manipulative	thao túng
manipulator	người thao túng
mankind	nhân loại
manliness	nam tính
manly	nam tính
man-made	Người làm
manned	có người lái
manner	cách thức
mannerism	cách cư xử
manor	trang viên
MANOVA	MANOVA
manpower	nhân lực
mansion	dinh thự
mantle	lớp áo
mantra	thần chú
manual	thủ công
manually	thủ công
manufacture	chế tạo
manufactured	được sản xuất
manufacturer	nhà chế tạo
manufacturing	chế tạo
manure	phân
manuscript	bản thảo
many	nhiều
map	bản đồ
maple	cây phong
mapping	lập bản đồ
mar	mar
marathon	marathon
marble	đá hoa
march	tháng Ba
marching	diễu hành
mare	ngựa cái
margarine	bơ thực vật
margin	lề
marginal	ngoài lề
marginality	lề mề
marginalization	ngoài lề
marginalize	gạt ra ngoài lề
marginalized	bị gạt ra ngoài lề
marginally	giới hạn
marijuana	cần sa
marina	bến du thuyền
marine	gần biển
mariner	người hàng hải
marital	hôn nhân
maritime	hàng hải
mark	dấu
marked	đánh dấu
markedly	rõ rệt
marker	đánh dấu
market	thị trường
marketable	có thể bán trên thị trường
market-based	dựa trên thị trường
market-driven	định hướng thị trường
marketer	nhà tiếp thị
marketing	tiếp thị
market-oriented	định hướng thị trường
marketplace	thương trường
marking	đánh dấu
markup	đánh dấu
marquis	hầu tước
marriage	hôn nhân
married	đã cưới
marrow	tủy
marry	kết hôn
marsh	đầm lầy
marshal	soái ca
martial	võ thuật
Martian	Sao Hỏa
martini	martini
martyr	liệt sĩ
martyrdom	tử đạo
marvel	kỳ quan
marvelous	kỳ diệu
Marxism	chủ nghĩa Mác
Marxist	Người mácxít
Marxist-Leninist	Chủ nghĩa Mác-Lê nin
mascot	linh vật
masculine	giống cái
masculinity	nam tính
mash	ngâm
mashed	nghiền nát
mask	mặt nạ
masked	che mặt
masker	người đeo mặt nạ
masking	mặt nạ
masochism	khổ dâm
mason	thợ nề
Masonic	Masonic
masonry	nề
masquerade	lễ hội hóa trang
mass	khối lượng
massacre	tàn sát
massage	Mát xa
massive	to lớn
massively	ồ ạt
mass-produced	sản xuất hàng loạt
mast	cột buồm
master	bậc thầy
masterful	thành thạo
masterpiece	kiệt tác
mastery	làm chủ
mastoid	xương chũm
masturbation	thủ dâm
mat	chiếu
match	trận đấu
matched	phù hợp
matching	phù hợp
mate	bạn
mater	trường cũ
material	vật liệu
materialism	chủ nghĩa duy vật
materialist	người theo chủ nghĩa duy vật
materialistic	nặng về vật chất
materiality	vật chất
materialize	cụ thể hoá
materially	vật chất
maternal	mẫu thân
maternity	thai sản
math	môn Toán
mathematical	toán học
mathematically	về mặt toán học
mathematician	nhà toán học
mathematics	toán học
mating	giao phối
matriculation	trúng tuyển
matrilineal	mẫu hệ
matrix	ma trận
matron	matron
matte	mờ
matter	Vân đê
mattress	nệm
maturation	trưởng thành
mature	trưởng thành
maturing	trưởng thành
maturity	trưởng thành
maverick	maverick
maxillary	hàm trên
maxim	châm ngôn
maximal	cực đại
maximally	tối đa
maximization	tối đa hóa
maximize	tối đa hóa
maximum	tối đa
Maya	Maya
Mayan	Người Maya
maybe	có lẽ
mayhem	lộn xộn
mayor	thị trưởng
maze	mê cung
me	tôi
mead	đồng cỏ
meadow	đồng cỏ
meager	ít ỏi
meal	bữa ăn
mean	bần tiện
meander	quanh co
meaning	Ý nghĩa
meaningful	có ý nghĩa
meaningfully	có ý nghĩa
meaningfulness	ý nghĩa
meaningless	vô nghĩa
meaninglessness	vô nghĩa
meantime	chờ đợi
meanwhile	trong khi đó
measurable	có thể đo lường được
measure	đo lường
measured	đo lường
measurement	đo đạc
measuring	đo lường
meat	thịt
mechanic	thợ cơ khí
mechanical	cơ khí
mechanically	máy móc
mechanism	cơ chế
mechanistic	cơ học
mechanization	cơ giới hóa
mechanized	cơ giới hóa
medal	huy chương
meddle	can thiệp
media	phương tiện truyền thông
medial	trung gian
median	Trung bình
mediastinal	trung thất
mediate	trung gian
mediated	qua trung gian
mediating	làm trung gian
mediation	hòa giải
mediator	người hòa giải
medic	y tế
medical	Y khoa
medically	về mặt y tế
medication	thuốc
medicinal	thuốc chữa bệnh
medicine	thuốc
medieval	thời trung cổ
mediocre	tầm thường
mediocrity	tầm thường
meditate	suy nghĩ
meditation	thiền
meditative	thiền định
Mediterranean	Địa trung hải
medium	Trung bình
medium-size	Kích thước trung bình
medium-sized	kích thước trung bình
meek	nhu mì
meerkat	meerkat
meet	gặp nhau
meeting	cuộc họp
megacity	siêu đô thị
megawatt	megawatt
melancholy	sầu muộn
melanoma	u ác tính
melatonin	melatonin
meld	meld
melodic	du dương
melodrama	kinh kịch
melody	làn điệu
melon	dưa gang
melt	tan chảy
meltdown	sự tan rã
melting	tan chảy
member	thành viên
membership	thành viên
membrane	màng
memento	kỷ vật
memo	bản ghi nhớ
memoir	hồi ký
memorabilia	kỷ vật
memorable	đáng nhớ
memorandum	bản ghi nhớ
memorial	Đài kỷ niệm
memorialize	tưởng niệm
memorization	sự ghi nhớ
memorize	ghi nhớ
memory	kỉ niệm
menace	sự đe dọa
menacing	đe dọa
mend	hàn gắn
meningioma	u màng não
meningitis	viêm màng não
Mennonite	Mennonite
menopausal	Mãn kinh
menopause	thời kỳ mãn kinh
menstrual	kinh nguyệt
menstruation	hành kinh
mental	tâm thần
mental-health	sức khỏe tinh thần
mentality	trí lực
mentally	tinh thần
mentee	người được hướng dẫn
mention	đề cập đến
mentor	người cố vấn
mentoring	cố vấn
mentorship	sự cố vấn
menu	thực đơn
mercantile	lanh lợi
mercenary	lính đánh thuê
merchandise	hàng hóa
merchant	người buôn bán
merciful	nhân hậu
merciless	tàn nhẫn
mercury	thủy ngân
mercy	nhân từ
mere	chỉ là
merely	đơn thuần
merge	hợp nhất
merger	sự hợp nhất
merging	hợp nhất
meridian	kinh tuyến
merit	n: Xứng đáng
meritorious	có công
merry	vui
mesa	mesa
mesh	lưới thép
mesmerize	thôi miên
Mesoamerican	Mesoamerican
mess	sự lộn xộn
message	thông điệp
messaging	nhắn tin
messenger	tin nhắn
messiah	đấng cứu thế
messianic	chúa cứu thế
messy	lộn xộn
mestizo	mestizo
meta-analysis	phân tích tổng hợp
metabolic	trao đổi chất
metabolism	sự trao đổi chất
metabolite	chất chuyển hóa
metabolize	chuyển hóa
metacognition	siêu nhận thức
metacognitive	siêu nhận thức
metadata	metadata
metafiction	hư cấu
metafictional	hư cấu
metal	kim khí
metallic	kim loại
metallurgy	luyện kim
metamorphose	biến chất
metamorphosis	sự biến hình
metaphor	phép ẩn dụ
metaphoric	ẩn dụ
metaphorical	ẩn dụ
metaphorically	một cách ẩn dụ
metaphysical	siêu hình học
metaphysics	siêu hình học
metastasis	di căn
metastatic	di căn
mete	đo
meteor	sao băng
meteorite	mảnh thiên thạch
meteoroid	thiên thạch
meteorological	khí tượng
meteorologist	nhà khí tượng học
meteorology	khí tượng học
meter	Mét
methadone	methadone
methamphetamine	methamphetamine
methane	mêtan
methanol	metanol
method	phương pháp
methodical	có phương pháp
methodically	có phương pháp
Methodist	Giám lý
methodological	phương pháp luận
methodologically	về phương pháp luận
methodology	phương pháp luận
methyl	metyl
methylmercury	metyl thủy ngân
meticulous	tỉ mỉ
meticulously	tỉ mỉ
metonymic	hoán dụ
metonymy	phép ẩn dụ
metric	Hệ mét
metrics	số liệu
metro	tàu điện
metropolis	đô thị
metropolitan	đô thị
Mexican	Người Mexico
Mexican-American	Người Mỹ gốc Mexico
micro	vi mô
microarray	microarray
microbe	vi trùng
microbial	vi sinh vật
microbiological	vi sinh
microbiologist	nhà vi sinh vật học
microbiology	vi trùng học
microchip	vi mạch
microcomputer	máy vi tính
microcosm	mô hình thu nhỏ
microelectronics	vi điện tử
microgram	microgram
micrograph	ảnh vi mô
micrometer	micromet
micron	micrômet
microorganism	vi sinh vật
microphone	cái mic cờ rô
microprocessor	bộ vi xử lý
microscope	kính hiển vi
microscopic	vi mô
microscopy	kính hiển vi
microwave	lò vi sóng
mid	giữa
mid-century	giữa thế kỉ
midday	giữa trưa
middle	ở giữa
middle-aged	Trung niên
middle-class	tầng lớp trung lưu
middle-income	thu nhập trung bình
middle-level	trung cấp
middleman	người trung gian
middle-school	Trung học phổ thông
middling	trung thu
mid-level	mức giữa
midlife	đời giữa
midline	đường giữa
mid-morning	giữa buổi sáng
midnight	nửa đêm
mid-nineteenth	giữa mười chín
midpoint	điểm giữa
midsection	phần giữa
mid-size	cỡ trung bình
midst	ở giữa
midsummer	giữa mùa hè
midterm	giữa kỳ
midtown	khu phố giữa
mid-twentieth	giữa hai mươi
midway	giữa chừng
midwest	trung tây
midwestern	miền trung tây
midwife	nữ hộ sinh
mien	mien
might	có thể
mightily	mạnh mẽ
mighty	hùng mạnh
migraine	đau nửa đầu
migrant	di dân
migrate	di cư
migration	sự di cư
migratory	di cư
mild	nhạt
mildly	nhẹ
mileage	số dặm
milestone	cột mốc
milieu	milieu
militancy	sự tranh đâu
militant	dân quân
militarism	chủ nghĩa quân phiệt
militaristic	quân phiệt
militarization	quân sự hóa
military	quân sự
military-industrial	công nghiệp quân sự
militate	ôn hòa
militia	dân quân
militiaman	dân quân
milk	Sữa
milky	màu trắng đục
mill	cối xay
millennial	millennial
millennium	thiên niên kỷ
millet	cây kê
millimeter	milimét
milling	phay
million	triệu
millionaire	nhà triệu phú
millisecond	mili giây
mime	kịch câm
mimesis	mimesis
mimetic	kịch câm
mimic	bắt chước
mimicry	sự bắt chước
mince	băm nhuyễn
minced	băm nhỏ
mind	lí trí
mind-body	thân tâm
mindful	trách nhiệm
mindfulness	sự quan tâm
mindless	vô tâm
mind-set	tư duy
mine	của tôi
minefield	bãi mìn
miner	thợ mỏ
mineral	khoáng sản
mingle	hòa vào
mini	mini
miniature	thu nhỏ
minimal	tối thiểu
minimalist	tối giản
minimally	tối thiểu
minimization	sự giảm thiểu
minimize	giảm thiểu
minimum	tối thiểu
mining	khai thác mỏ
miniseries	tập phim ngắn
minister	bộ trưởng, mục sư
ministerial	bộ trưởng
ministry	Bộ
minivan	xe tải nhỏ
minor	người vị thành niên
minority	thiểu số
mint	cây bạc hà
minus	dấu trừ
minuscule	cỡ nhỏ
minute	phút
miracle	phép màu
miraculous	kỳ diệu
miraculously	kỳ diệu
mirage	ảo ảnh
mire	bãi lầy
mirror	gương
misalignment	sự lệch lạc
misbehave	cư xử sai
misbehavior	hành vi sai trái
miscalculation	tính toán sai lầm
miscarriage	sẩy thai
miscellaneous	Điều khoản khác
mischief	tinh nghịch
mischievous	nghịch ngợm
misconception	quan niệm sai lầm
misconduct	hành vi sai trái
misdeed	sai lầm
misdemeanor	tội nhẹ
miserable	khốn khổ
miserably	khổ sở
misery	khốn khổ
misfortune	bất hạnh
misgiving	nghi ngờ
misguided	lầm lạc
mishap	làm sai
misinformation	thông tin sai lệch
misinterpret	hiểu sai
misinterpretation	giải thích sai
mislead	đánh lạc hướng
misleading	gây hiểu lầm
mismanagement	quản lý yếu kém
mismatch	không phù hợp
misnomer	nhầm lẫn
misperception	ngộ nhận
misplace	đặt nhầm chỗ
misplaced	đặt nhầm chỗ
misread	đọc sai
misreading	đọc sai
misrepresent	xuyên tạc
misrepresentation	xuyên tạc
miss	cô
missed	bỏ lỡ
missile	hỏa tiễn
missing	mất tích
mission	nhiệm vụ
missionary	nhà truyền giáo
misstep	bước nhầm
mist	sương mù
mistake	sai lầm, điều sai, ngộ nhận
mistaken	nhầm lẫn
mistakenly	nhầm lẫn
mistreat	ngược đãi
mistreatment	ngược đãi
mistress	tình nhân
mistrust	không tin tưởng
misty	mù sương
misunderstand	hiểu sai
misunderstanding	sự hiểu lầm
misuse	lạm dụng
mite	con ve
miter	lỗ đít
mitigate	giảm nhẹ
mitigating	giảm nhẹ
mitigation	giảm nhẹ
mitochondria	ty thể
mitochondrial	ty thể
mitral	hai lá
mix	pha trộn
mixed	Trộn
mixer	máy trộn
mixing	pha trộn
mixture	hỗn hợp
mm	mm
mnemonic	ghi nhớ
moan	kêu van
moat	hào nước
mob	đám đông
mobile	di động
mobility	di động
mobilization	huy động
mobilize	huy động
mock	chế nhạo
mockery	sự chế nhạo
mocking	chế giễu
modal	phương thức
modality	phương thức
mode	chế độ
model	người mẫu
modeled	mô hình hóa
modeler	người làm mô hình
modeling	làm mẫu
modelling	làm mẫu
modem	modem
moderate	vừa phải
moderately	vừa phải
moderating	kiểm duyệt
moderation	điều độ
moderator	người điều hành
modern	hiện đại
modern-day	thời hiện đại
modernism	chủ nghĩa hiện đại
modernist	người theo chủ nghĩa hiện đại
modernity	hiện đại
modernization	hiện đại hóa
modernize	hiện đại hóa
modest	khiêm tốn
modestly	khiêm tốn
modesty	khiêm tốn
modicum	modicum
modification	sự sửa đổi
modified	sửa đổi
modifier	bổ nghĩa
modify	biến đổi
modular	mô-đun
modulate	ngâm nga
modulation	điều chế
modulator	người điều chế
module	mô-đun
modulus	mô đun
modus	modus
mogul	ông trùm
mohawk	mohawk
moist	ẩm ướt
moisture	độ ẩm
moisturizer	kem dưỡng ẩm
molasses	mật đường
mold	khuôn
molded	đúc
molding	đúc
mole	nốt ruồi
